speciality_id,name,New Speciality id
2,Emergency Medicine,2
4,Neurology,2678
5,Oncology,2577
6,Radiology,1912
8,Cardiology,8
41,Orthopedics,637
43,Otolaryngology - Head & Neck Surgery,43
48,Other Specialties,48
51,Psychiatry,2681
56,Nutrition,2553
59,Alternative Medicine,59
62,Sports Medicine,62
63,Urology,63
65,Pediatrics,65
66,Rheumatology,2582
67,Gastroenterology,2567
68,Surgery,68
69,Geriatrics,2550
70,Plastic Surgery,70
71,Family Medicine,71
72,Infectious Disease,2574
77,Pulmonary Medicine,2581
80,Pathology,80
81,Anesthesiology,81
82,Dermatology,82
87,Pain Medicine,87
89,Internal Medicine and General Medicine,626
95,Neurosurgery,1065
96,Renal Medicine Disease and Hypertension,2578
100,Ophthalmology,100
103,Hematology Blood and Marrow Transplant,2569
106,Biochemistry and Molecular Genetics,2589
107,Genetics,1904
115,Endodontics,115
119,Critical Care Medicine,2564
122,Healthcare Technology,230
137,Biotechnology,230
155,Hospital Medicine,2713
168,Physical Medicine and Rehabilitation,1463
175,Occupational Medicine,2670
176,Osteopathic Medicine,230
181,Vascular Surgery,2706
182,Thoracic Surgery,182
183,Nuclear Medicine,183
184,Colorectal Surgery,891
186,Sleep Medicine,2554
189,Pharmacy and Medicine,320
196,Hepatology,2571
197,Dermatopathology,2542
207,Podiatry,207
209,Asthma Clinical Immunology,889
211,Hospice and Palliative Medicine,211
230,Preventive Medicine,230
231,Obstetrics and Gynecology,231
240,Pediatric Anesthesiology,915
241,Pediatric Dermatology,2543
243,Toxicology,2642
248,Clinical Cardiac Electrophysiology,2563
249,Interventional Cardiology,2575
250,Transplant Hepatology,2585
251,Female Pelvic Medicine and Reconstructive Surgery,2607
254,Reproductive Endocrinology,2606
255,Orthopaedic Sports Medicine,2622
256,Surgery of the Hand,2703
257,Pediatrics Neurology,2644
261,Nuclear Radiology,2694
262,Pediatric Radiology,2695
263,Vascular and Interventional Radiology,2698
265,Pediatric Surgery,2701
271,Healthcare Management,2672
278,Hyperbaric medicine,2674
279,Pediatric Pulmonary,2651
280,Pediatric Cardiology,280
287,Medical Education,
289,Head and Neck Surgery,43
294,Surgical Oncology,2577
298,Neuroradiology,1037
299,Vascular Disease,2561
303,Wound Care,2568
304,Radiation Oncology,2696
305,Immunology and Microbiology,889
306,Cosmetic Breast Surgery,70
314,General Medicine,626
315,Pain Management,2631
316,Rural Medicine,71
322,Endocrinology,2566
334,Cytopathology,979
335,Clinical Cytopathology,979
341,Bioinformatics,2667
379,Haematology,2569
384,Public Health,2672
401,Neonatal and Perinatology,2643
403,Otorhinolaryngology,43
404,Pediatric Emergency Medicine,2648
405,Pediatric Endocrinology,405
406,Pediatric Gastroenterology Hepatology and Nutrition,2652
407,Pediatric Hematology and Bone Marrow Transplant,2649
408,Pediatric Infectious Disease,2650
409,Pediatric Nephrology,1002
410,Pediatric Rheumatology,1004
411,Vascular Medicine,2561
453,ECMO,2564
461,Primary Care,626
488,Psychology,2681
489,Behavioral Health,2681
492,Mental Health,2681
494,Palliative Care,2572
497,Cell and Developmental Biology,338
498,Medicine,626
501,Medical Oncology,2577
504,Pediatrics Allergy and Immunology,2646
505,Pediatrics Child Abuse,2640
506,Pediatrics Critical Care,2647
507,Developmental Behavioral Pediatrics,507
508,General Academic Pediatrics,65
