Code,Grouping,Classification,Specialization,eMed_Profession,Not Sure,MD,DO,eMed_Speciality,eMed_Speciality_ID,Comments,eMed_SubSpeciality,eMed_SubSpeciality_ID,Comments
207K00000X,Allopathic & Osteopathic Physicians,Allergy & Immunology,,Physician,167,184,185,Allergy & Immunology,889,,,,
207KA0200X,Allopathic & Osteopathic Physicians,Allergy & Immunology,Allergy,Physician,167,184,185,Allergy and Immunology,889,,Allergy,2531,
207KI0005X,Allopathic & Osteopathic Physicians,Allergy & Immunology,Clinical & Laboratory Immunology,Physician,167,184,185,Allergy and Immunology,889,,Clinical & Laboratory Immunology,2532,
207L00000X,Allopathic & Osteopathic Physicians,Anesthesiology,,Physician,167,184,185,Anesthesiology,81,,,,
207LA0401X,Allopathic & Osteopathic Physicians,Anesthesiology,Addiction Medicine,Physician,167,184,185,Anesthesiology,81,,Addiction Medicine,2533,
207LC0200X,Allopathic & Osteopathic Physicians,Anesthesiology,Critical Care Medicine,Physician,167,184,185,Anesthesiology,81,,Critical Care Medicine,2534,
207LH0002X,Allopathic & Osteopathic Physicians,Anesthesiology,Hospice and Palliative Medicine,Physician,167,184,185,Anesthesiology,81,,Hospice and Palliative Medicine,2535,
207LP2900X,Allopathic & Osteopathic Physicians,Anesthesiology,Pain Medicine,Physician,167,184,185,Anesthesiology,81,,Pain Medicine,2536,
207LP3000X,Allopathic & Osteopathic Physicians,Anesthesiology,Pediatric Anesthesiology,Physician,167,184,185,Anesthesiology,81,,Pediatric Anesthesiology,915,
207LP4000X,Allopathic & Osteopathic Physicians,Anesthesiology,Physician Nutrition Specialist,Physician,167,184,185,Anesthesiology,81,,Physician Nutrition Specialist,2537,
,,,,Physician,167,184,185,Anesthesiology,81,,Perioperative Medicine,2538,
,,,,Physician,167,184,185,Anesthesiology,81,,Adult Cardiac Anesthesiology,2539,
,,,,Physician,167,184,185,Anesthesiology,81,,Neurocritical Care,2540,
208U00000X,Allopathic & Osteopathic Physicians,Clinical Pharmacology,,Physician,167,184,185,Clinical Pharmacology,320,,,,
